roc_lookback_bars,min_move_pct,volume_mult,take_profit_pct,stop_loss_pct,max_hold_bars,total_return_pct,n_trades,win_rate_pct,avg_return_per_trade_pct,final_capital,tp_hits,sl_hits,timeouts
2,0.003,2.0,0.005,0.002,10,-14.65,162,39.5,0.0025,8535.0,20,74,68
2,0.003,2.0,0.005,0.003,10,-14.78,162,43.8,0.0017,8522.0,22,50,90
2,0.002,3.0,0.005,0.002,30,-14.85,169,33.7,0.0053,8515.0,36,98,35
1,0.002,3.0,0.003,0.003,20,-14.85,129,45.0,-0.0242,8515.0,46,53,30
1,0.002,3.0,0.003,0.003,30,-14.87,128,45.3,-0.0253,8513.0,49,59,20
2,0.002,3.0,0.005,0.002,20,-15.08,171,37.4,0.0048,8492.0,31,90,50
3,0.003,3.0,0.003,0.002,30,-15.39,137,35.0,-0.0217,8461.0,41,73,23
2,0.003,2.0,0.005,0.003,20,-15.41,160,41.2,-0.004,8459.0,37,66,57
2,0.003,2.0,0.005,0.002,20,-15.41,161,33.5,-0.0035,8459.0,31,88,42
3,0.003,3.0,0.005,0.003,30,-15.58,130,35.4,-0.0297,8442.0,30,61,39
1,0.0015,3.0,0.005,0.002,30,-15.66,193,36.8,0.0122,8434.0,39,110,44
2,0.003,2.0,0.003,0.003,10,-15.68,166,48.8,-0.0025,8432.0,47,49,70
2,0.003,2.0,0.003,0.002,10,-15.89,166,43.4,-0.004,8411.0,40,73,53
5,0.003,3.0,0.005,0.002,10,-16.15,171,38.6,-0.0027,8385.0,18,70,83
2,0.003,2.0,0.003,0.003,30,-16.28,163,48.5,-0.0086,8372.0,62,67,34
3,0.003,3.0,0.003,0.003,20,-16.37,137,42.3,-0.0301,8363.0,42,51,44
5,0.003,3.0,0.003,0.002,10,-16.54,176,42.6,-0.0025,8346.0,42,69,65
2,0.003,2.0,0.003,0.002,30,-16.72,165,39.4,-0.0106,8328.0,52,89,24
1,0.003,,0.005,0.003,30,-16.87,268,46.6,0.0316,8313.0,69,104,95
2,0.002,3.0,0.005,0.002,10,-16.91,177,37.9,-0.0044,8309.0,19,78,80
5,0.003,3.0,0.005,0.003,10,-16.94,169,40.8,-0.0095,8306.0,18,41,110
5,0.003,3.0,0.005,0.002,20,-16.99,167,32.9,-0.0111,8301.0,29,89,49
2,0.003,2.0,0.003,0.002,20,-17.18,165,38.8,-0.014,8282.0,47,84,34
3,0.003,2.0,0.005,0.003,10,-17.27,203,45.3,0.007,8273.0,26,54,123
1,0.0015,3.0,0.005,0.002,10,-17.39,203,43.3,0.0062,8261.0,21,84,98
2,0.003,2.0,0.003,0.003,20,-17.41,164,46.3,-0.0163,8259.0,55,62,47
1,0.0015,3.0,0.005,0.002,20,-17.48,198,37.9,0.0033,8252.0,33,102,63
2,0.002,3.0,0.003,0.002,30,-17.49,177,39.0,-0.0084,8251.0,57,95,25
2,0.002,3.0,0.003,0.002,20,-17.51,179,41.3,-0.0072,8249.0,51,89,39
2,0.002,3.0,0.003,0.002,10,-17.55,181,42.0,-0.0064,8245.0,43,75,63
5,0.003,3.0,0.003,0.003,10,-17.55,174,44.8,-0.0106,8245.0,44,40,90
1,0.0015,3.0,0.003,0.002,10,-17.8,206,47.6,0.0051,8220.0,47,79,80
3,0.003,3.0,0.003,0.003,30,-17.9,137,40.1,-0.0435,8210.0,46,61,30
1,0.0015,3.0,0.003,0.002,30,-17.94,201,42.3,0.0019,8206.0,68,104,29
3,0.003,2.0,0.005,0.002,10,-17.97,205,40.0,0.0037,8203.0,23,86,96
2,0.002,3.0,0.005,0.003,20,-17.99,170,41.2,-0.0161,8201.0,33,70,67
3,0.003,2.0,0.005,0.003,30,-18.08,198,42.4,-0.0001,8192.0,45,84,69
5,0.003,3.0,0.005,0.002,30,-18.12,166,27.7,-0.0201,8188.0,32,98,36
2,0.002,3.0,0.005,0.003,30,-18.35,167,38.3,-0.0208,8165.0,38,80,49
1,0.003,,0.005,0.002,30,-18.43,274,38.7,0.0261,8157.0,59,139,76
3,0.003,2.0,0.005,0.003,20,-18.49,199,42.2,-0.0022,8151.0,41,73,85
2,0.002,3.0,0.005,0.003,10,-18.57,177,40.7,-0.0157,8143.0,19,51,107
3,0.003,2.0,0.005,0.002,30,-18.59,201,34.3,-0.0019,8141.0,39,114,48
5,0.003,3.0,0.003,0.002,20,-18.67,175,37.1,-0.0178,8133.0,48,86,41
1,0.002,2.0,0.003,0.002,10,-18.69,201,44.8,-0.0027,8131.0,53,92,56
3,0.003,2.0,0.005,0.002,20,-18.74,201,35.3,-0.0029,8126.0,35,104,62
1,0.002,2.0,0.005,0.002,30,-18.82,196,31.6,-0.006,8118.0,39,119,38
2,0.002,3.0,0.003,0.003,10,-18.87,181,45.3,-0.0152,8113.0,46,48,87
5,0.003,3.0,0.005,0.003,20,-18.92,163,37.4,-0.0282,8108.0,30,62,71
1,0.002,2.0,0.005,0.002,10,-18.99,199,39.2,-0.0055,8101.0,23,98,78
1,0.002,2.0,0.003,0.003,10,-18.99,201,49.8,-0.0045,8101.0,59,60,82
3,0.002,3.0,0.005,0.002,20,-19.06,210,37.1,-0.0003,8094.0,34,102,74
1,0.0015,3.0,0.005,0.003,30,-19.08,191,42.4,-0.0103,8092.0,42,88,61
1,0.002,2.0,0.005,0.003,10,-19.16,199,44.2,-0.0065,8084.0,24,62,113
1,0.002,2.0,0.005,0.002,20,-19.23,196,33.2,-0.0086,8077.0,35,112,49
1,0.003,,0.005,0.003,20,-19.25,270,43.7,0.0213,8075.0,60,91,119
1,0.0015,3.0,0.003,0.002,20,-19.25,203,41.9,-0.0051,8075.0,60,99,44
1,0.0015,3.0,0.003,0.003,10,-19.42,204,50.0,-0.0056,8058.0,49,50,105
1,0.0015,3.0,0.005,0.003,10,-19.42,201,45.3,-0.0071,8058.0,20,52,129
5,0.003,3.0,0.003,0.002,30,-19.45,174,34.5,-0.024,8055.0,52,94,28
2,0.0015,3.0,0.005,0.002,20,-19.5,246,40.7,0.0122,8050.0,38,117,91
1,0.002,2.0,0.003,0.002,30,-19.79,200,38.0,-0.01,8021.0,67,110,23
1,0.002,2.0,0.003,0.002,20,-19.91,200,39.0,-0.0107,8009.0,63,105,32
1,0.003,,0.005,0.003,10,-19.94,271,47.2,0.0183,8006.0,43,71,157
3,0.002,3.0,0.005,0.002,10,-20.03,217,41.0,-0.0027,7997.0,21,85,111
3,0.003,2.0,0.003,0.002,10,-20.05,212,42.5,-0.0053,7995.0,50,90,72
1,0.0015,3.0,0.005,0.003,20,-20.1,196,42.3,-0.014,7990.0,36,80,80
1,0.002,2.0,0.005,0.003,30,-20.12,193,39.4,-0.0158,7988.0,45,96,52
5,0.003,3.0,0.005,0.003,30,-20.19,161,32.9,-0.0396,7981.0,33,72,56
3,0.002,3.0,0.005,0.002,30,-20.2,208,33.2,-0.0081,7980.0,39,116,53
3,0.003,2.0,0.003,0.003,10,-20.21,210,47.6,-0.0072,7979.0,55,57,98
2,0.002,3.0,0.003,0.003,20,-20.26,179,45.3,-0.0261,7974.0,56,69,54
2,0.002,3.0,0.003,0.003,30,-20.41,176,44.3,-0.0293,7959.0,63,78,35
1,0.002,2.0,0.005,0.003,20,-20.46,194,40.2,-0.0175,7954.0,41,88,65
5,0.003,3.0,0.003,0.003,20,-20.6,172,41.3,-0.0338,7940.0,51,60,61
1,0.003,,0.003,0.002,30,-20.79,281,45.2,0.0173,7921.0,93,125,63
3,0.002,3.0,0.005,0.003,10,-20.87,215,43.3,-0.0085,7913.0,21,48,146
1,0.002,2.0,0.003,0.003,30,-20.98,198,46.0,-0.0185,7902.0,77,88,33
3,0.002,3.0,0.005,0.003,20,-21.14,207,41.5,-0.0143,7886.0,36,73,98
1,0.0015,3.0,0.003,0.003,30,-21.22,199,47.7,-0.0195,7878.0,73,84,42
5,0.003,3.0,0.003,0.003,30,-21.22,170,40.0,-0.0399,7878.0,56,70,44
3,0.002,3.0,0.003,0.002,10,-21.24,222,43.7,-0.0073,7876.0,48,85,89
1,0.003,,0.005,0.002,20,-21.33,275,36.7,0.0132,7867.0,50,130,95
3,0.003,2.0,0.003,0.002,20,-21.53,211,38.4,-0.0147,7847.0,59,105,47
1,0.002,2.0,0.003,0.003,20,-21.7,199,45.7,-0.0225,7830.0,71,83,45
1,0.003,,0.003,0.003,30,-21.71,273,51.3,0.0107,7829.0,101,94,78
2,0.0015,3.0,0.005,0.002,30,-21.8,244,35.7,-0.0004,7820.0,45,133,66
1,0.003,,0.005,0.002,10,-21.8,276,41.7,0.0112,7820.0,36,114,126
