roc_lookback_bars,min_move_pct,volume_mult,take_profit_pct,stop_loss_pct,max_hold_bars,total_return_pct,n_trades,win_rate_pct,avg_return_per_trade_pct,final_capital,tp_hits,sl_hits,timeouts
2,0.002,2.0,0.005,0.003,30,-2.37,20,45.0,-0.0193,9763.0,3,7,10
1,0.0015,2.0,0.003,0.003,10,-2.37,21,52.4,-0.0138,9763.0,2,4,15
1,0.003,,0.005,0.002,10,-2.4,18,33.3,-0.0347,9760.0,0,4,14
1,0.0015,2.0,0.005,0.003,10,-2.4,21,52.4,-0.0154,9760.0,0,4,17
1,0.003,,0.003,0.002,10,-2.4,18,33.3,-0.0347,9760.0,0,4,14
3,0.002,2.0,0.005,0.003,20,-2.4,24,54.2,-0.0007,9760.0,2,6,16
1,0.002,,0.005,0.003,30,-2.41,24,45.8,-0.0013,9759.0,2,5,17
5,0.003,2.0,0.003,0.002,30,-2.42,17,35.3,-0.044,9758.0,3,8,6
5,0.003,2.0,0.003,0.002,20,-2.43,17,35.3,-0.0444,9757.0,3,8,6
5,0.002,3.0,0.003,0.002,20,-2.44,20,50.0,-0.0234,9756.0,3,9,8
3,0.002,3.0,0.005,0.002,20,-2.45,19,52.6,-0.0303,9755.0,0,8,11
3,0.0015,3.0,0.003,0.002,10,-2.45,25,52.0,0.0009,9755.0,2,7,16
2,0.002,3.0,0.003,0.002,10,-2.46,17,41.2,-0.0462,9754.0,2,8,7
2,0.002,3.0,0.003,0.003,10,-2.46,17,41.2,-0.0462,9754.0,2,3,12
5,0.003,2.0,0.005,0.002,30,-2.46,17,29.4,-0.0465,9754.0,2,8,7
2,0.003,,0.005,0.002,20,-2.48,20,40.0,-0.0255,9752.0,1,6,13
1,0.002,,0.005,0.002,30,-2.5,25,40.0,-0.0011,9750.0,3,9,13
2,0.002,2.0,0.005,0.003,20,-2.5,20,40.0,-0.0263,9750.0,2,5,13
3,0.0015,3.0,0.005,0.002,10,-2.51,25,52.0,-0.0014,9749.0,0,7,18
2,0.003,,0.005,0.003,10,-2.51,20,35.0,-0.0271,9749.0,0,2,18
2,0.002,3.0,0.005,0.002,10,-2.51,17,41.2,-0.0496,9749.0,0,8,9
2,0.002,3.0,0.005,0.003,10,-2.51,17,41.2,-0.0496,9749.0,0,3,14
3,0.003,,0.005,0.002,20,-2.52,20,35.0,-0.0276,9748.0,1,6,13
2,0.003,,0.003,0.002,30,-2.54,20,40.0,-0.0283,9746.0,2,6,12
2,0.002,2.0,0.003,0.003,10,-2.55,21,42.9,-0.0227,9745.0,2,3,16
3,0.002,3.0,0.005,0.003,20,-2.55,19,57.9,-0.0356,9745.0,0,5,14
2,0.002,2.0,0.003,0.002,10,-2.55,21,42.9,-0.0227,9745.0,2,8,11
5,0.003,2.0,0.005,0.003,20,-2.55,17,41.2,-0.0515,9745.0,0,3,14
3,0.002,2.0,0.005,0.003,30,-2.55,23,47.8,-0.012,9745.0,3,7,13
2,0.003,,0.003,0.003,10,-2.55,20,35.0,-0.0291,9745.0,1,2,17
2,0.003,,0.005,0.002,30,-2.55,20,40.0,-0.0291,9745.0,1,6,13
3,0.003,,0.005,0.002,10,-2.56,21,33.3,-0.0234,9744.0,0,5,16
3,0.003,,0.005,0.002,30,-2.56,20,40.0,-0.0295,9744.0,1,6,13
5,0.003,2.0,0.005,0.003,30,-2.57,16,31.2,-0.0627,9743.0,1,4,11
2,0.002,2.0,0.005,0.002,10,-2.58,21,42.9,-0.0243,9742.0,0,8,13
2,0.002,2.0,0.005,0.003,10,-2.58,21,42.9,-0.0243,9742.0,0,3,18
3,0.003,,0.003,0.002,10,-2.6,21,33.3,-0.0253,9740.0,1,5,15
5,0.002,3.0,0.003,0.003,20,-2.61,20,55.0,-0.0318,9739.0,3,5,12
2,0.002,2.0,0.005,0.002,30,-2.61,20,35.0,-0.032,9739.0,3,11,6
3,0.003,,0.003,0.003,30,-2.62,21,42.9,-0.0264,9738.0,3,4,14
2,0.003,,0.005,0.003,20,-2.62,20,40.0,-0.0326,9738.0,1,2,17
3,0.003,,0.005,0.003,10,-2.62,21,33.3,-0.0265,9738.0,0,2,19
3,0.0015,3.0,0.003,0.003,10,-2.62,25,52.0,-0.0061,9738.0,2,4,19
1,0.003,,0.005,0.003,10,-2.62,18,33.3,-0.0473,9738.0,0,2,16
5,0.002,3.0,0.003,0.003,30,-2.62,20,50.0,-0.0327,9738.0,4,6,10
1,0.003,,0.003,0.003,10,-2.62,18,33.3,-0.0473,9738.0,0,2,16
3,0.002,3.0,0.005,0.003,30,-2.64,18,44.4,-0.0482,9736.0,1,6,11
5,0.003,2.0,0.005,0.002,20,-2.65,17,35.3,-0.0577,9735.0,0,8,9
